0,58,62,67,70,59,60,62,63,58,63,68,72,61,64,67,70,1
1,58,63,67,70,57,62,67,71,59,61,66,67,63,68,71,76,1
2,58,61,64,69,55,57,60,62,52,56,61,63,48,52,53,58,-1
3,58,63,67,69,61,65,69,70,65,70,74,75,62,64,67,72,1
4,58,62,66,70,54,59,63,64,59,61,65,68,61,64,69,71,1
5,58,60,65,66,59,61,65,66,63,67,69,71,61,66,71,75,-1
6,58,61,64,66,60,65,68,69,63,65,67,71,58,63,64,68,-1
7,58,63,67,70,53,54,57,59,54,58,62,63,59,63,65,66,-1
8,58,62,63,67,60,65,67,68,60,62,64,66,60,64,68,69,0
9,58,59,64,69,62,64,65,69,60,65,66,69,57,62,63,66,-1
10,58,61,63,66,54,55,58,59,54,59,62,65,57,62,66,71,-1
11,58,59,62,66,57,60,65,66,56,60,64,65,52,55,60,61,-1
12,58,63,64,69,61,63,64,66,65,68,73,74,69,71,74,76,1
13,58,59,62,64,62,67,68,71,63,65,69,70,67,69,71,72,-1
14,58,59,64,68,56,61,63,64,53,54,55,60,57,61,63,68,-1
15,58,61,64,65,54,55,58,60,59,63,68,70,56,61,64,67,0
16,58,63,67,71,53,58,60,63,49,54,57,62,52,56,59,62,-1
17,58,63,65,68,61,63,66,67,64,69,70,74,62,67,69,73,-1
18,58,63,66,71,63,67,68,69,64,67,72,77,63,66,68,71,-1
19,58,62,64,69,63,67,70,75,63,64,67,68,63,67,68,72,0
20,58,61,64,67,62,66,68,69,62,67,69,73,60,62,64,66,-1
21,58,62,66,70,57,58,61,66,55,57,62,65,52,54,58,61,1
22,58,63,64,69,53,54,57,60,50,55,57,62,48,49,51,52,-1
23,58,62,64,66,61,65,66,69,66,67,69,74,61,62,66,67,-1
24,58,59,64,69,62,67,69,71,66,67,71,72,67,68,71,73,-1
25,58,63,65,67,54,55,56,61,58,59,60,63,56,61,66,70,0
26,58,62,66,68,54,57,60,62,52,56,60,64,47,52,56,61,0
27,58,61,65,70,59,63,64,69,55,60,62,64,54,55,57,61,0
28,58,59,61,66,63,65,68,72,63,66,68,69,60,61,63,66,0
29,58,61,63,68,53,57,58,60,49,53,56,61,50,52,53,54,1
30,58,60,65,66,60,65,67,70,64,65,70,72,69,71,72,74,-1
31,58,63,64,65,63,64,69,70,60,62,66,70,63,65,67,70,1
32,58,62,63,65,60,64,67,68,57,58,59,61,59,63,66,69,-1
33,58,63,67,68,62,67,70,72,65,70,74,77,64,68,70,74,-1
34,58,60,65,70,63,65,67,70,60,63,68,70,55,58,60,64,1
35,58,60,64,67,53,56,60,65,52,53,57,60,50,54,59,62,0
36,58,60,65,66,62,64,67,69,67,69,74,75,71,76,81,83,-1
37,58,63,65,70,62,63,67,69,61,63,68,73,62,67,69,71,1
38,58,59,60,61,62,63,68,73,62,63,68,69,60,62,63,67,1
39,58,61,63,66,59,63,67,68,64,67,72,75,65,66,67,72,-1
40,58,63,66,68,62,65,66,70,67,71,75,76,62,63,68,70,0
