0,58,62,67,70,59,60,62,63,58,63,68,72,61,64,67,70,70,69,68,67,68,69,70,71,72,74,1
1,58,63,67,70,57,62,67,71,59,61,66,67,63,68,71,76,70,69,68,67,69,71,72,72,71,70,-1
2,58,61,64,69,55,57,60,62,52,56,61,63,48,52,53,58,70,70,71,72,73,74,76,77,78,80,-1
3,58,63,67,69,61,65,69,70,65,70,74,75,62,64,67,72,70,70,69,68,68,68,67,68,69,71,0
4,58,62,66,70,54,59,63,64,59,61,65,68,61,64,69,71,70,70,70,71,72,73,75,75,74,73,0
5,58,60,65,66,59,61,65,66,63,67,69,71,61,66,71,75,70,70,70,71,72,73,75,74,73,71,1
6,58,61,64,66,60,65,68,69,63,65,67,71,58,63,64,68,70,72,74,75,75,76,77,79,81,82,1
7,58,63,67,70,53,54,57,59,54,58,62,63,59,63,65,66,70,72,74,75,75,76,77,77,77,78,-1
8,58,62,63,67,60,65,67,68,60,62,64,66,60,64,68,69,70,70,70,70,70,70,70,70,70,69,-1
9,58,59,64,69,62,64,65,69,60,65,66,69,57,62,63,66,70,70,70,71,71,71,71,72,73,75,-1
10,58,61,63,66,54,55,58,59,54,59,62,65,57,62,66,71,70,72,74,75,75,75,74,74,74,75,-1
11,58,59,62,66,57,60,65,66,56,60,64,65,52,55,60,61,70,69,68,66,66,67,68,68,68,69,-1
12,58,63,64,69,61,63,64,66,65,68,73,74,69,71,74,76,70,71,72,73,72,71,70,68,66,65,1
13,58,59,62,64,62,67,68,71,63,65,69,70,67,69,71,72,70,71,72,74,75,76,77,79,81,82,1
14,58,59,64,68,56,61,63,64,53,54,55,60,57,61,63,68,70,70,69,68,66,64,63,63,63,63,-1
15,58,61,64,65,54,55,58,60,59,63,68,70,56,61,64,67,70,70,69,68,68,67,66,66,65,64,-1
16,58,63,67,71,53,58,60,63,49,54,57,62,52,56,59,62,70,70,70,69,70,71,72,74,76,77,1
17,58,63,65,68,61,63,66,67,64,69,70,74,62,67,69,73,70,69,68,67,66,65,64,66,68,69,0
18,58,63,66,71,63,67,68,69,64,67,72,77,63,66,68,71,70,70,71,72,73,74,76,76,76,76,-1
19,58,62,64,69,63,67,70,75,63,64,67,68,63,67,68,72,70,69,68,66,66,67,68,69,70,72,-1
20,58,61,64,67,62,66,68,69,62,67,69,73,60,62,64,66,70,70,70,71,69,67,66,67,68,69,-1
21,58,62,66,70,57,58,61,66,55,57,62,65,52,54,58,61,70,70,70,70,70,71,72,72,72,72,-1
22,58,63,64,69,53,54,57,60,50,55,57,62,48,49,51,52,70,71,72,74,74,74,73,73,74,75,0
23,58,62,64,66,61,65,66,69,66,67,69,74,61,62,66,67,70,72,74,75,76,77,79,81,83,84,0
24,58,59,64,69,62,67,69,71,66,67,71,72,67,68,71,73,70,68,66,65,64,63,61,61,61,60,-1
25,58,63,65,67,54,55,56,61,58,59,60,63,56,61,66,70,70,69,68,67,67,67,66,64,62,61,-1
26,58,62,66,68,54,57,60,62,52,56,60,64,47,52,56,61,70,70,71,72,72,72,73,73,72,71,-1
27,58,61,65,70,59,63,64,69,55,60,62,64,54,55,57,61,70,70,70,70,70,69,68,68,68,67,0
28,58,59,61,66,63,65,68,72,63,66,68,69,60,61,63,66,70,70,71,72,71,70,68,68,68,69,-1
29,58,61,63,68,53,57,58,60,49,53,56,61,50,52,53,54,70,69,68,66,67,68,69,68,67,65,-1
30,58,60,65,66,60,65,67,70,64,65,70,72,69,71,72,74,70,70,69,68,68,67,66,66,65,64,-1
31,58,63,64,65,63,64,69,70,60,62,66,70,63,65,67,70,70,70,70,70,68,66,65,64,63,61,-1
32,58,62,63,65,60,64,67,68,57,58,59,61,59,63,66,69,70,70,70,71,69,67,66,68,70,71,1
33,58,63,67,68,62,67,70,72,65,70,74,77,64,68,70,74,70,69,68,67,65,63,62,62,63,64,1
